,UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Date,Confirmed
547,84009015,US,USA,840,9015,Windham,Connecticut,US,41.82972709,-71.98182316,"Windham, Connecticut, US",3/16/2020,0
548,84080009,US,USA,840,80009,Out of CT,Connecticut,US,0,0,"Out of CT, Connecticut, US",3/16/2020,0
549,84090009,US,USA,840,90009,Unassigned,Connecticut,US,0,0,"Unassigned, Connecticut, US",3/16/2020,0
550,84009001,US,USA,840,9001,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",3/17/2020,48
551,84009003,US,USA,840,9003,Hartford,Connecticut,US,41.80283011,-72.73103891,"Hartford, Connecticut, US",3/17/2020,7
552,84009005,US,USA,840,9005,Litchfield,Connecticut,US,41.7937534,-73.2451475,"Litchfield, Connecticut, US",3/17/2020,5
553,84009007,US,USA,840,9007,Middlesex,Connecticut,US,41.45949668,-72.53714864,"Middlesex, Connecticut, US",3/17/2020,0
554,84009009,US,USA,840,9009,New Haven,Connecticut,US,41.4080325,-72.93620426,"New Haven, Connecticut, US",3/17/2020,8
555,84009011,US,USA,840,9011,New London,Connecticut,US,41.48896435,-72.10430976,"New London, Connecticut, US",3/17/2020,0
556,84009013,US,USA,840,9013,Tolland,Connecticut,US,41.85853803,-72.3308481,"Tolland, Connecticut, US",3/17/2020,0
557,84009015,US,USA,840,9015,Windham,Connecticut,US,41.82972709,-71.98182316,"Windham, Connecticut, US",3/17/2020,0
558,84080009,US,USA,840,80009,Out of CT,Connecticut,US,0,0,"Out of CT, Connecticut, US",3/17/2020,0
559,84090009,US,USA,840,90009,Unassigned,Connecticut,US,0,0,"Unassigned, Connecticut, US",3/17/2020,0
560,84009001,US,USA,840,9001,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",3/18/2020,69
561,84009003,US,USA,840,9003,Hartford,Connecticut,US,41.80283011,-72.73103891,"Hartford, Connecticut, US",3/18/2020,11
562,84009005,US,USA,840,9005,Litchfield,Connecticut,US,41.7937534,-73.2451475,"Litchfield, Connecticut, US",3/18/2020,5
563,84009007,US,USA,840,9007,Middlesex,Connecticut,US,41.45949668,-72.53714864,"Middlesex, Connecticut, US",3/18/2020,1
564,84009009,US,USA,840,9009,New Haven,Connecticut,US,41.4080325,-72.93620426,"New Haven, Connecticut, US",3/18/2020,10
565,84009011,US,USA,840,9011,New London,Connecticut,US,41.48896435,-72.10430976,"New London, Connecticut, US",3/18/2020,0
566,84009013,US,USA,840,9013,Tolland,Connecticut,US,41.85853803,-72.3308481,"Tolland, Connecticut, US",3/18/2020,0
567,84009015,US,USA,840,9015,Windham,Connecticut,US,41.82972709,-71.98182316,"Windham, Connecticut, US",3/18/2020,0
568,84080009,US,USA,840,80009,Out of CT,Connecticut,US,0,0,"Out of CT, Connecticut, US",3/18/2020,0
569,84090009,US,USA,840,90009,Unassigned,Connecticut,US,0,0,"Unassigned, Connecticut, US",3/18/2020,0
570,84009001,US,USA,840,9001,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",3/19/2020,102
571,84009003,US,USA,840,9003,Hartford,Connecticut,US,41.80283011,-72.73103891,"Hartford, Connecticut, US",3/19/2020,18
572,84009005,US,USA,840,9005,Litchfield,Connecticut,US,41.7937534,-73.2451475,"Litchfield, Connecticut, US",3/19/2020,7
573,84009007,US,USA,840,9007,Middlesex,Connecticut,US,41.45949668,-72.53714864,"Middlesex, Connecticut, US",3/19/2020,3
574,84009009,US,USA,840,9009,New Haven,Connecticut,US,41.4080325,-72.93620426,"New Haven, Connecticut, US",3/19/2020,23
575,84009011,US,USA,840,9011,New London,Connecticut,US,41.48896435,-72.10430976,"New London, Connecticut, US",3/19/2020,0
576,84009013,US,USA,840,9013,Tolland,Connecticut,US,41.85853803,-72.3308481,"Tolland, Connecticut, US",3/19/2020,4
577,84009015,US,USA,840,9015,Windham,Connecticut,US,41.82972709,-71.98182316,"Windham, Connecticut, US",3/19/2020,0
578,84080009,US,USA,840,80009,Out of CT,Connecticut,US,0,0,"Out of CT, Connecticut, US",3/19/2020,0
579,84090009,US,USA,840,90009,Unassigned,Connecticut,US,0,0,"Unassigned, Connecticut, US",3/19/2020,2
580,84009001,US,USA,840,9001,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",3/20/2020,122
581,84009003,US,USA,840,9003,Hartford,Connecticut,US,41.80283011,-72.73103891,"Hartford, Connecticut, US",3/20/2020,29
582,84009005,US,USA,840,9005,Litchfield,Connecticut,US,41.7937534,-73.2451475,"Litchfield, Connecticut, US",3/20/2020,8
583,84009007,US,USA,840,9007,Middlesex,Connecticut,US,41.45949668,-72.53714864,"Middlesex, Connecticut, US",3/20/2020,5
584,84009009,US,USA,840,9009,New Haven,Connecticut,US,41.4080325,-72.93620426,"New Haven, Connecticut, US",3/20/2020,23
585,84009011,US,USA,840,9011,New London,Connecticut,US,41.48896435,-72.10430976,"New London, Connecticut, US",3/20/2020,1
586,84009013,US,USA,840,9013,Tolland,Connecticut,US,41.85853803,-72.3308481,"Tolland, Connecticut, US",3/20/2020,4
587,84009015,US,USA,840,9015,Windham,Connecticut,US,41.82972709,-71.98182316,"Windham, Connecticut, US",3/20/2020,2
588,84080009,US,USA,840,80009,Out of CT,Connecticut,US,0,0,"Out of CT, Connecticut, US",3/20/2020,0
589,84090009,US,USA,840,90009,Unassigned,Connecticut,US,0,0,"Unassigned, Connecticut, US",3/20/2020,0
590,84009001,US,USA,840,9001,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",3/21/2020,122
591,84009003,US,USA,840,9003,Hartford,Connecticut,US,41.80283011,-72.73103891,"Hartford, Connecticut, US",3/21/2020,29
592,84009005,US,USA,840,9005,Litchfield,Connecticut,US,41.7937534,-73.2451475,"Litchfield, Connecticut, US",3/21/2020,8
593,84009007,US,USA,840,9007,Middlesex,Connecticut,US,41.45949668,-72.53714864,"Middlesex, Connecticut, US",3/21/2020,5
594,84009009,US,USA,840,9009,New Haven,Connecticut,US,41.4080325,-72.93620426,"New Haven, Connecticut, US",3/21/2020,23
595,84009011,US,USA,840,9011,New London,Connecticut,US,41.48896435,-72.10430976,"New London, Connecticut, US",3/21/2020,1
596,84009013,US,USA,840,9013,Tolland,Connecticut,US,41.85853803,-72.3308481,"Tolland, Connecticut, US",3/21/2020,4
597,84009015,US,USA,840,9015,Windham,Connecticut,US,41.82972709,-71.98182316,"Windham, Connecticut, US",3/21/2020,2
598,84080009,US,USA,840,80009,Out of CT,Connecticut,US,0,0,"Out of CT, Connecticut, US",3/21/2020,0
599,84090009,US,USA,840,90009,Unassigned,Connecticut,US,0,0,"Unassigned, Connecticut, US",3/21/2020,0
600,84009001,US,USA,840,9001,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",3/22/2020,208
601,84009003,US,USA,840,9003,Hartford,Connecticut,US,41.80283011,-72.73103891,"Hartford, Connecticut, US",3/22/2020,54
602,84009005,US,USA,840,9005,Litchfield,Connecticut,US,41.7937534,-73.2451475,"Litchfield, Connecticut, US",3/22/2020,12
603,84009007,US,USA,840,9007,Middlesex,Connecticut,US,41.45949668,-72.53714864,"Middlesex, Connecticut, US",3/22/2020,6
604,84009009,US,USA,840,9009,New Haven,Connecticut,US,41.4080325,-72.93620426,"New Haven, Connecticut, US",3/22/2020,29
605,84009011,US,USA,840,9011,New London,Connecticut,US,41.48896435,-72.10430976,"New London, Connecticut, US",3/22/2020,3
606,84009013,US,USA,840,9013,Tolland,Connecticut,US,41.85853803,-72.3308481,"Tolland, Connecticut, US",3/22/2020,14
607,84009015,US,USA,840,9015,Windham,Connecticut,US,41.82972709,-71.98182316,"Windham, Connecticut, US",3/22/2020,1
608,84080009,US,USA,840,80009,Out of CT,Connecticut,US,0,0,"Out of CT, Connecticut, US",3/22/2020,0
609,84090009,US,USA,840,90009,Unassigned,Connecticut,US,0,0,"Unassigned, Connecticut, US",3/22/2020,0
610,84009001,US,USA,840,9001,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",3/23/2020,270
