,Town,Cases,Date,Lat,Lon,Deaths,CaseRate,Daily_reported_cases,Daily_reported_cases_MA7
295,Sherman,8,2020-04-16,41.581190899999996,-73.5014683,0,221.0,0.0,0
126,Sherman,8,2020-04-17,41.581190899999996,-73.5014683,0,221.0,0.0,0
4351,Sherman,8,2020-04-18,41.581190899999996,-73.5014683,1,221.0,0.0,0
4520,Sherman,8,2020-04-19,41.581190899999996,-73.5014683,1,221.0,0.0,0
4689,Sherman,10,2020-04-20,41.581190899999996,-73.5014683,1,277.0,2.0,0
4858,Sherman,10,2020-04-21,41.581190899999996,-73.5014683,1,277.0,0.0,0
5027,Sherman,11,2020-04-22,41.581190899999996,-73.5014683,1,304.0,1.0,0
5196,Sherman,11,2020-04-23,41.581190899999996,-73.5014683,1,304.0,0.0,0
5365,Sherman,11,2020-04-24,41.581190899999996,-73.5014683,1,304.0,0.0,0
4077,Bethlehem,3,2020-03-24,41.6357676,-73.2114114,0,0.0,0.0,0
4014,Bethlehem,3,2020-03-25,41.6357676,-73.2114114,0,0.0,0.0,0
3777,Bethlehem,3,2020-03-26,41.6357676,-73.2114114,0,0.0,0.0,0
3598,Bethlehem,3,2020-03-27,41.6357676,-73.2114114,0,0.0,0.0,0
3417,Bethlehem,3,2020-03-28,41.6357676,-73.2114114,0,0.0,0.0,0
3220,Bethlehem,3,2020-03-29,41.6357676,-73.2114114,0,0.0,0.0,0
3052,Bethlehem,4,2020-03-30,41.6357676,-73.2114114,0,0.0,1.0,0
2984,Bethlehem,4,2020-03-31,41.6357676,-73.2114114,0,0.0,0.0,0
2764,Bethlehem,4,2020-04-01,41.6357676,-73.2114114,0,0.0,0.0,0
2572,Bethlehem,4,2020-04-02,41.6357676,-73.2114114,0,0.0,0.0,0
2375,Bethlehem,4,2020-04-03,41.6357676,-73.2114114,0,0.0,0.0,0
2206,Bethlehem,4,2020-04-04,41.6357676,-73.2114114,0,0.0,0.0,0
2174,Bethlehem,4,2020-04-05,41.6357676,-73.2114114,0,0.0,0.0,0
1951,Bethlehem,4,2020-04-06,41.6357676,-73.2114114,0,0.0,0.0,0
1699,Bethlehem,4,2020-04-07,41.6357676,-73.2114114,0,0.0,0.0,0
1530,Bethlehem,4,2020-04-08,41.6357676,-73.2114114,0,0.0,0.0,0
1361,Bethlehem,5,2020-04-09,41.6357676,-73.2114114,0,0.0,1.0,0
1192,Bethlehem,5,2020-04-10,41.6357676,-73.2114114,0,0.0,0.0,0
1023,Bethlehem,5,2020-04-11,41.6357676,-73.2114114,0,0.0,0.0,0
855,Bethlehem,5,2020-04-12,41.6357676,-73.2114114,0,0.0,0.0,0
685,Bethlehem,5,2020-04-13,41.6357676,-73.2114114,0,0.0,0.0,0
516,Bethlehem,5,2020-04-14,41.6357676,-73.2114114,0,0.0,0.0,0
347,Bethlehem,6,2020-04-15,41.6357676,-73.2114114,0,0.0,1.0,0
178,Bethlehem,7,2020-04-16,41.6357676,-73.2114114,2,205.0,1.0,0
9,Bethlehem,7,2020-04-17,41.6357676,-73.2114114,2,205.0,0.0,0
4234,Bethlehem,7,2020-04-18,41.6357676,-73.2114114,2,205.0,0.0,0
4403,Bethlehem,7,2020-04-19,41.6357676,-73.2114114,2,205.0,0.0,0
4572,Bethlehem,8,2020-04-20,41.6357676,-73.2114114,2,234.0,1.0,0
4741,Bethlehem,8,2020-04-21,41.6357676,-73.2114114,2,234.0,0.0,0
4910,Bethlehem,7,2020-04-22,41.6357676,-73.2114114,1,205.0,-1.0,0
5079,Bethlehem,7,2020-04-23,41.6357676,-73.2114114,1,205.0,0.0,0
5248,Bethlehem,7,2020-04-24,41.6357676,-73.2114114,1,205.0,0.0,0
4085,Woodbury,1,2020-03-24,41.5616321,-73.20609590000002,0,0.0,0.0,0
3915,Woodbury,1,2020-03-25,41.5616321,-73.20609590000002,0,0.0,0.0,0
3883,Woodbury,2,2020-03-26,41.5616321,-73.20609590000002,0,0.0,1.0,0
3587,Woodbury,2,2020-03-27,41.5616321,-73.20609590000002,0,0.0,0.0,0
3406,Woodbury,2,2020-03-28,41.5616321,-73.20609590000002,0,0.0,0.0,0
3342,Woodbury,4,2020-03-29,41.5616321,-73.20609590000002,0,0.0,2.0,0
3209,Woodbury,5,2020-03-30,41.5616321,-73.20609590000002,0,0.0,1.0,0
2973,Woodbury,5,2020-03-31,41.5616321,-73.20609590000002,0,0.0,0.0,0
2753,Woodbury,6,2020-04-01,41.5616321,-73.20609590000002,0,0.0,1.0,0
2657,Woodbury,6,2020-04-02,41.5616321,-73.20609590000002,1,0.0,0.0,0
2533,Woodbury,9,2020-04-03,41.5616321,-73.20609590000002,1,0.0,3.0,1
2364,Woodbury,9,2020-04-04,41.5616321,-73.20609590000002,1,0.0,0.0,1
2195,Woodbury,9,2020-04-05,41.5616321,-73.20609590000002,1,0.0,0.0,0
2026,Woodbury,9,2020-04-06,41.5616321,-73.20609590000002,1,0.0,0.0,0
1857,Woodbury,9,2020-04-07,41.5616321,-73.20609590000002,1,0.0,0.0,0
1688,Woodbury,9,2020-04-08,41.5616321,-73.20609590000002,1,0.0,0.0,0
1519,Woodbury,9,2020-04-09,41.5616321,-73.20609590000002,1,0.0,0.0,0
1350,Woodbury,11,2020-04-10,41.5616321,-73.20609590000002,1,0.0,2.0,0
1181,Woodbury,13,2020-04-11,41.5616321,-73.20609590000002,1,0.0,2.0,0
1012,Woodbury,13,2020-04-12,41.5616321,-73.20609590000002,1,0.0,0.0,0
843,Woodbury,18,2020-04-13,41.5616321,-73.20609590000002,1,0.0,5.0,1
674,Woodbury,18,2020-04-14,41.5616321,-73.20609590000002,1,0.0,0.0,1
505,Woodbury,20,2020-04-15,41.5616321,-73.20609590000002,1,0.0,2.0,1
336,Woodbury,20,2020-04-16,41.5616321,-73.20609590000002,2,210.0,0.0,1
167,Woodbury,20,2020-04-17,41.5616321,-73.20609590000002,2,210.0,0.0,1
4392,Woodbury,21,2020-04-18,41.5616321,-73.20609590000002,2,220.0,1.0,1
4561,Woodbury,21,2020-04-19,41.5616321,-73.20609590000002,2,220.0,0.0,1
4730,Woodbury,24,2020-04-20,41.5616321,-73.20609590000002,2,252.0,3.0,0
4899,Woodbury,24,2020-04-21,41.5616321,-73.20609590000002,2,252.0,0.0,0
5068,Woodbury,28,2020-04-22,41.5616321,-73.20609590000002,2,294.0,4.0,1
5237,Woodbury,28,2020-04-23,41.5616321,-73.20609590000002,2,294.0,0.0,1
